order_id,order_datetime,store_id,product_id,promotion_id,channel,payment_method,units,unit_selling_price,discount_pct_applied,order_status
BF2025-000063,2025-11-28 12:26:41,S018,P0020,PR015,In-Store,Card,2,12.29,26.5,Completed
BF2025-000064,2025-11-26 02:37:30,S029,P0024,,In-Store,Card,3,259.56,13.5,Completed
BF2025-000065,2025-11-30 22:24:39,S002,P0025,,Online,Card,1,108.33,17.2,Completed
BF2025-000066,2025-11-23 13:42:04,S028,P0105,PR011,Online,Card,2,145.12,45.8,Returned
BF2025-000067,2025-11-22 20:07:42,S017,P0100,,In-Store,Card,6,133.87,0.0,Completed
BF2025-000068,2025-11-27 10:11:23,S004,P0011,,Online,Card,2,108.79,0.0,Completed
BF2025-000069,2025-11-30 06:23:30,S020,P0113,PR011,In-Store,Digital Wallet,2,12.36,43.6,Completed
BF2025-000070,2025-11-28 06:02:30,S025,P0104,,In-Store,Digital Wallet,2,56.15,0.0,Completed
BF2025-000071,2025-11-28 13:37:25,S006,P0074,,In-Store,Digital Wallet,2,30.1,0.0,Completed
BF2025-000072,2025-11-22 12:19:31,S016,P0004,,Online,Card,2,814.6,0.0,Completed
BF2025-000073,2025-11-28 01:30:35,S030,P0003,PR009,In-Store,Digital Wallet,4,70.24,33.3,Completed
BF2025-000074,2025-11-26 16:46:40,S028,P0116,PR012,Online,Cash,2,87.88,50.1,Completed
BF2025-000075,2025-11-23 15:48:06,S023,P0027,PR017,Online,Card,1,97.56,32.1,Completed
BF2025-000076,2025-11-29 18:10:42,S026,P0022,PR015,Online,Card,1,81.29,26.4,Completed
BF2025-000077,2025-11-22 12:08:14,S024,P0070,PR014,In-Store,Card,2,455.22,31.9,Completed
BF2025-000078,2025-11-24 18:10:18,S006,P0033,PR013,Online,Digital Wallet,5,40.88,11.0,Completed
BF2025-000079,2025-11-30 21:18:30,S024,P0044,PR009,Online,Digital Wallet,3,45.79,29.7,Completed
BF2025-000080,2025-11-23 19:04:50,S024,P0120,,In-Store,Digital Wallet,2,303.06,0.0,Completed
BF2025-000081,2025-11-28 09:12:10,S007,P0024,,Online,Card,2,282.3,0.0,Completed
BF2025-000082,2025-11-24 21:46:08,S009,P0082,PR018,In-Store,Card,2,445.3,18.7,Completed
BF2025-000083,2025-11-28 10:16:44,S026,P0101,PR004,Online,Card,1,89.73,56.6,Completed
BF2025-000084,2025-11-22 11:20:44,S005,P0045,PR011,Online,Card,4,34.09,41.2,Completed
BF2025-000085,2025-11-24 18:24:05,S023,P0117,PR002,Online,Digital Wallet,3,25.95,21.4,Completed
BF2025-000086,2025-11-24 07:16:08,S001,P0114,PR008,Online,Cash,1,47.96,32.6,Completed
BF2025-000087,2025-11-23 21:50:36,S026,P0030,PR016,Online,Digital Wallet,3,18.24,52.2,Returned
BF2025-000088,2025-11-28 11:03:52,S006,P0064,,In-Store,Card,1,27.0,0.0,Completed
BF2025-000089,2025-11-28 14:51:23,S025,P0095,PR014,In-Store,Digital Wallet,1,207.11,32.2,Returned
BF2025-000090,2025-11-28 21:44:09,S030,P0048,PR007,In-Store,Digital Wallet,3,71.34,52.4,Completed
BF2025-000091,2025-11-30 21:46:18,S008,P0093,PR006,Online,Cash,1,96.43,48.5,Completed
BF2025-000092,2025-11-28 01:39:27,S011,P0099,PR016,Online,Digital Wallet,2,134.97,51.7,Completed
BF2025-000093,2025-11-29 06:32:31,S013,P0094,PR008,Online,Card,4,135.89,29.7,Completed
BF2025-000094,2025-11-23 21:01:50,S025,P0007,PR007,Online,Card,3,102.98,48.0,Completed
BF2025-000095,2025-11-23 01:03:59,S003,P0009,,Online,Cash,4,265.55,0.0,Completed
BF2025-000096,2025-11-26 12:04:10,S013,P0096,PR014,Online,Digital Wallet,3,24.41,34.0,Completed
BF2025-000097,2025-11-23 17:14:39,S028,P0014,PR006,Online,Cash,3,30.22,51.3,Completed
BF2025-000098,2025-11-28 02:45:26,S002,P0050,PR006,Online,Card,3,16.56,55.6,Completed
BF2025-000099,2025-11-28 13:26:38,S019,P0120,PR014,Online,Digital Wallet,2,213.85,28.1,Completed
BF2025-000100,2025-11-23 06:08:05,S018,P0001,,Online,Digital Wallet,2,1036.54,0.0,Completed
BF2025-000101,2025-11-28 10:23:38,S010,P0050,PR005,In-Store,Card,4,29.32,22.0,Completed
BF2025-000102,2025-11-28 23:54:00,S030,P0014,,In-Store,Card,3,61.55,0.0,Canceled
BF2025-000103,2025-11-30 21:31:34,S024,P0116,PR005,Online,Card,3,138.11,23.2,Completed
BF2025-000104,2025-11-23 05:31:51,S030,P0054,,Online,Cash,2,27.71,0.0,Completed
BF2025-000105,2025-11-22 01:55:34,S025,P0003,PR010,In-Store,Digital Wallet,1,74.78,27.3,Completed
BF2025-000106,2025-11-22 05:36:35,S028,P0041,PR010,Online,Card,4,126.19,24.9,Completed
BF2025-000107,2025-11-23 01:06:21,S015,P0086,PR010,Online,Card,3,20.17,23.9,Completed
BF2025-000108,2025-11-24 01:38:51,S007,P0070,PR009,Online,Digital Wallet,1,455.83,31.8,Completed
BF2025-000109,2025-11-30 22:30:00,S027,P0092,,In-Store,Digital Wallet,1,167.22,0.0,Completed
BF2025-000110,2025-11-28 11:38:34,S016,P0019,PR013,In-Store,Digital Wallet,2,632.44,11.2,Completed
BF2025-000111,2025-11-26 05:43:22,S007,P0088,,In-Store,Card,3,149.36,0.0,Completed
BF2025-000112,2025-11-24 17:27:38,S030,P0066,,Online,Card,3,5.94,0.0,Completed
BF2025-000113,2025-11-28 20:09:02,S014,P0097,PR018,In-Store,Card,1,21.61,21.3,Completed
BF2025-000114,2025-11-22 08:27:08,S007,P0053,PR005,Online,Card,2,753.55,22.2,Completed
BF2025-000115,2025-11-24 12:16:19,S012,P0092,PR015,Online,Card,2,124.87,24.4,Completed
BF2025-000116,2025-11-29 22:19:01,S030,P0073,PR014,In-Store,Card,2,34.5,32.8,Completed
BF2025-000117,2025-11-23 10:47:05,S030,P0023,,Online,Card,3,272.97,0.0,Returned
BF2025-000118,2025-11-24 13:00:02,S003,P0066,PR008,In-Store,Digital Wallet,4,4.2,30.4,Completed
BF2025-000119,2025-11-28 23:13:11,S022,P0037,PR011,Online,Card,2,113.13,43.1,Completed
BF2025-000120,2025-11-28 12:12:39,S011,P0013,PR016,Online,Card,1,90.46,50.2,Completed
BF2025-000121,2025-11-24 18:20:07,S009,P0097,PR003,In-Store,Card,2,18.78,30.8,Completed
BF2025-000122,2025-11-23 14:42:20,S001,P0009,PR017,Online,Card,2,174.55,32.2,Completed
BF2025-000123,2025-11-27 11:58:20,S011,P0040,PR005,Online,Digital Wallet,4,219.17,22.3,Completed
BF2025-000124,2025-11-29 21:12:10,S014,P0015,PR014,In-Store,Cash,3,7.71,31.4,Completed
BF2025-000125,2025-11-28 19:48:36,S016,P0103,PR018,Online,Card,2,19.59,22.0,Completed
BF2025-000126,2025-11-24 21:24:55,S013,P0091,PR006,Online,Card,1,76.76,50.1,Completed
BF2025-000127,2025-11-27 19:57:15,S021,P0117,,In-Store,Digital Wallet,2,32.18,0.0,Completed
BF2025-000128,2025-11-24 21:56:06,S011,P0068,PR007,In-Store,Cash,2,9.46,51.9,Completed
BF2025-000129,2025-11-30 21:35:15,S006,P0032,,In-Store,Digital Wallet,1,168.0,0.0,Completed
BF2025-000130,2025-11-29 12:19:46,S028,P0111,,Online,Card,2,207.81,0.0,Completed
BF2025-000131,2025-11-30 07:05:28,S022,P0074,,Online,Digital Wallet,1,29.79,0.0,Completed
BF2025-000132,2025-11-29 04:04:51,S010,P0113,PR007,Online,Card,2,11.28,48.1,Completed
BF2025-000133,2025-11-28 11:14:20,S021,P0065,PR006,In-Store,Card,3,12.5,52.2,Completed
BF2025-000134,2025-11-30 12:35:01,S003,P0054,,Online,Digital Wallet,5,27.6,0.0,Completed
BF2025-000135,2025-11-28 06:33:09,S026,P0091,PR012,Online,Card,1,82.89,47.4,Completed
BF2025-000136,2025-11-28 06:16:17,S006,P0117,PR004,In-Store,Card,2,12.18,62.0,Completed
BF2025-000137,2025-11-30 18:18:12,S015,P0029,PR009,Online,Card,4,107.97,34.7,Completed
BF2025-000138,2025-11-26 08:16:10,S004,P0092,,Online,Card,1,157.69,5.9,Canceled
BF2025-000139,2025-11-23 06:07:34,S013,P0060,PR006,In-Store,Card,3,107.76,50.6,Completed
BF2025-000140,2025-11-23 01:49:31,S022,P0114,PR006,In-Store,Card,1,31.95,55.1,Completed
BF2025-000141,2025-11-29 07:28:32,S024,P0052,PR001,In-Store,Card,2,190.3,39.6,Completed
BF2025-000142,2025-11-28 16:30:45,S008,P0100,PR008,Online,Card,2,91.64,32.8,Completed
BF2025-000143,2025-11-29 14:34:08,S014,P0084,PR008,In-Store,Cash,3,219.62,31.9,Completed
BF2025-000144,2025-11-28 18:09:50,S011,P0068,,In-Store,Card,1,19.55,0.0,Completed
BF2025-000145,2025-11-29 18:00:28,S027,P0047,PR015,Online,Card,5,13.34,26.6,Completed
BF2025-000146,2025-11-24 13:08:04,S026,P0112,PR014,Online,Cash,2,91.27,36.2,Completed
BF2025-000147,2025-11-28 19:45:53,S022,P0106,,Online,Digital Wallet,3,308.63,0.0,Completed
BF2025-000148,2025-11-23 13:35:20,S015,P0101,PR011,Online,Card,5,118.8,42.7,Completed
BF2025-000149,2025-11-22 08:50:31,S030,P0105,PR008,In-Store,Card,4,192.17,28.6,Completed
BF2025-000150,2025-11-28 13:35:15,S012,P0040,PR001,Online,Card,2,161.94,41.2,Completed
BF2025-000151,2025-11-29 11:50:46,S025,P0097,PR017,Online,Digital Wallet,5,18.14,35.6,Completed
BF2025-000152,2025-11-22 16:57:46,S029,P0060,PR015,Online,Card,3,155.87,27.1,Completed
BF2025-000153,2025-11-22 07:19:50,S011,P0018,PR018,Online,Card,3,142.08,20.1,Completed
BF2025-000154,2025-11-30 20:12:15,S019,P0065,,In-Store,Card,3,21.38,17.5,Completed
BF2025-000155,2025-11-28 10:37:49,S008,P0017,,Online,Card,2,65.15,0.0,Completed
BF2025-000156,2025-11-30 08:31:32,S021,P0120,PR001,Online,Card,3,190.75,38.0,Completed
BF2025-000157,2025-11-22 02:27:39,S003,P0120,PR012,Online,Digital Wallet,4,143.51,52.9,Completed
BF2025-000158,2025-11-29 02:45:43,S006,P0043,PR001,Online,Card,4,16.41,35.9,Completed
BF2025-000159,2025-11-30 02:22:24,S029,P0114,PR016,In-Store,Card,1,34.86,51.6,Completed
BF2025-000160,2025-11-24 16:40:03,S011,P0037,PR016,In-Store,Digital Wallet,2,95.83,50.8,Completed
BF2025-000161,2025-11-30 20:54:57,S011,P0028,PR003,In-Store,Card,2,88.85,33.9,Completed
BF2025-000162,2025-11-30 15:25:41,S016,P0023,PR008,Online,Digital Wallet,5,178.87,34.7,Completed
BF2025-000163,2025-11-29 16:10:50,S003,P0120,,Online,Card,3,298.26,0.0,Completed
BF2025-000164,2025-11-29 11:54:23,S017,P0030,,Online,Card,3,39.31,0.0,Completed
BF2025-000165,2025-11-28 14:13:30,S004,P0057,,In-Store,Card,2,44.54,0.0,Completed
BF2025-000166,2025-11-28 07:44:40,S006,P0031,,Online,Digital Wallet,3,57.74,0.0,Completed
BF2025-000167,2025-11-27 20:51:41,S021,P0064,,Online,Card,2,27.78,0.0,Completed
BF2025-000168,2025-11-30 07:18:14,S025,P0017,PR006,In-Store,Card,4,33.09,48.8,Completed
BF2025-000169,2025-11-28 19:30:18,S005,P0020,PR008,In-Store,Card,2,11.53,30.7,Completed
BF2025-000170,2025-11-28 17:05:34,S030,P0012,PR004,In-Store,Card,1,208.62,63.0,Completed
BF2025-000171,2025-11-22 06:45:02,S022,P0064,,Online,Digital Wallet,4,27.76,0.0,Completed
BF2025-000172,2025-11-25 01:50:35,S029,P0061,,In-Store,Cash,3,9.63,0.0,Completed
BF2025-000173,2025-11-28 13:26:06,S008,P0064,PR003,Online,Cash,1,18.47,33.4,Completed
BF2025-000174,2025-11-28 21:27:23,S017,P0101,,Online,Cash,3,210.89,0.0,Completed
BF2025-000175,2025-11-30 12:36:03,S014,P0072,PR012,Online,Card,1,71.15,52.3,Completed
BF2025-000176,2025-11-28 01:19:26,S001,P0058,PR011,Online,Card,2,22.95,41.6,Returned
BF2025-000177,2025-11-30 18:03:27,S008,P0027,,In-Store,Card,5,146.29,0.0,Completed
BF2025-000178,2025-11-22 19:22:25,S017,P0053,PR007,Online,Card,2,454.8,52.1,Completed
BF2025-000179,2025-11-29 10:35:32,S023,P0033,PR017,In-Store,Card,3,30.24,36.4,Completed
BF2025-000180,2025-11-27 13:17:55,S007,P0005,PR001,In-Store,Card,2,131.63,34.2,Completed
BF2025-000181,2025-11-23 02:01:18,S017,P0038,PR006,Online,Card,1,556.98,50.6,Completed
BF2025-000182,2025-11-30 14:38:36,S017,P0119,,Online,Digital Wallet,2,59.67,0.0,Completed
BF2025-000183,2025-11-30 10:40:38,S009,P0117,,Online,Card,1,31.84,0.0,Completed
BF2025-000184,2025-11-28 04:49:14,S008,P0103,,Online,Cash,1,24.76,0.0,Completed
BF2025-000185,2025-11-28 16:24:35,S015,P0044,PR011,In-Store,Card,3,34.21,47.1,Completed
BF2025-000186,2025-11-22 23:12:50,S007,P0016,PR015,Online,Digital Wallet,4,646.89,26.6,Completed
BF2025-000187,2025-11-30 13:11:20,S021,P0019,PR013,Online,Card,1,598.29,13.7,Completed
BF2025-000188,2025-11-28 10:54:50,S009,P0020,PR011,Online,Cash,5,9.36,43.2,Completed
BF2025-000189,2025-11-28 08:44:05,S022,P0073,PR009,Online,Card,4,35.03,32.6,Completed
BF2025-000190,2025-11-28 15:03:07,S007,P0103,,Online,Digital Wallet,2,23.76,0.0,Completed
BF2025-000191,2025-11-22 02:58:45,S023,P0031,,In-Store,Card,3,58.11,0.0,Completed
BF2025-000192,2025-11-27 18:17:35,S015,P0014,PR011,Online,Card,3,34.61,44.4,Completed
BF2025-000193,2025-11-24 23:07:42,S022,P0075,PR011,Online,Cash,5,162.15,43.9,Completed
BF2025-000194,2025-11-24 21:38:29,S003,P0099,PR012,In-Store,Card,2,143.96,49.1,Completed
BF2025-000195,2025-11-24 20:19:22,S003,P0054,PR003,Online,Card,6,18.12,34.6,Completed
BF2025-000196,2025-11-24 06:43:13,S004,P0030,,In-Store,Card,7,38.5,0.0,Completed
BF2025-000197,2025-11-22 11:39:37,S008,P0020,PR004,In-Store,Cash,3,6.73,59.3,Completed
BF2025-000198,2025-11-30 09:40:15,S012,P0086,PR009,In-Store,Card,2,17.77,32.2,Completed
BF2025-000199,2025-11-26 12:37:03,S006,P0083,PR004,Online,Card,3,76.04,60.1,Completed
BF2025-000200,2025-11-28 20:33:03,S003,P0094,PR011,Online,Card,6,99.75,48.2,Completed
BF2025-000201,2025-11-26 03:10:23,S006,P0058,PR006,Online,Cash,3,20.05,49.1,Completed
BF2025-000202,2025-11-28 02:03:11,S017,P0010,,In-Store,Digital Wallet,3,90.45,0.0,Completed
BF2025-000203,2025-11-22 13:37:56,S023,P0031,PR001,Online,Card,2,35.82,39.4,Completed
BF2025-000204,2025-11-22 13:03:29,S021,P0026,PR012,Online,Card,7,314.72,51.1,Completed
BF2025-000205,2025-11-22 02:37:21,S006,P0085,PR013,In-Store,Card,2,30.85,21.1,Completed
BF2025-000206,2025-11-28 17:08:11,S005,P0095,PR015,In-Store,Card,2,225.69,25.7,Completed
BF2025-000207,2025-11-23 03:26:57,S008,P0035,PR012,Online,Card,2,62.13,48.2,Completed
BF2025-000208,2025-11-29 20:53:18,S015,P0015,PR018,Online,Card,2,9.03,22.3,Completed
BF2025-000209,2025-11-22 02:09:41,S009,P0009,PR002,Online,Digital Wallet,2,211.54,20.4,Completed
BF2025-000210,2025-11-28 17:13:34,S022,P0067,PR015,Online,Card,2,97.66,28.2,Completed
BF2025-000211,2025-11-23 15:01:37,S005,P0051,PR009,Online,Card,4,242.8,31.4,Completed
BF2025-000212,2025-11-22 22:21:28,S010,P0054,,In-Store,Digital Wallet,2,26.08,5.8,Returned
BF2025-000213,2025-11-28 14:15:26,S009,P0059,PR002,In-Store,Card,1,75.41,20.3,Completed
BF2025-000214,2025-11-29 14:12:50,S028,P0049,PR011,In-Store,Card,1,7.02,45.9,Completed
BF2025-000215,2025-11-26 13:13:33,S027,P0097,PR006,Online,Card,1,14.23,49.0,Completed
BF2025-000216,2025-11-29 14:52:46,S010,P0048,PR017,Online,Card,2,92.48,36.9,Completed
BF2025-000217,2025-11-28 09:02:10,S011,P0034,PR011,In-Store,Card,2,143.68,43.2,Completed
BF2025-000218,2025-11-22 20:00:09,S011,P0061,PR012,Online,Card,4,4.46,54.1,Completed
BF2025-000219,2025-11-28 22:54:31,S014,P0018,,Online,Card,3,173.98,0.0,Completed
BF2025-000220,2025-11-28 01:16:31,S026,P0053,,In-Store,Card,2,940.95,0.0,Completed
BF2025-000221,2025-11-23 13:31:32,S002,P0057,,Online,Card,4,45.52,0.0,Completed
BF2025-000222,2025-11-28 02:17:52,S027,P0084,PR017,In-Store,Card,2,204.87,34.3,Completed
BF2025-000223,2025-11-26 00:35:35,S010,P0032,PR016,Online,Digital Wallet,3,84.2,50.1,Completed
BF2025-000224,2025-11-28 00:21:01,S002,P0020,,In-Store,Card,4,16.53,0.0,Completed
BF2025-000225,2025-11-29 14:59:23,S010,P0058,PR006,In-Store,Digital Wallet,3,20.46,47.9,Completed
BF2025-000226,2025-11-30 13:17:26,S011,P0085,PR010,In-Store,Digital Wallet,3,27.92,29.3,Completed
BF2025-000227,2025-11-23 19:41:13,S022,P0090,,Online,Cash,1,500.67,0.0,Completed
BF2025-000228,2025-11-28 12:45:25,S025,P0074,,Online,Card,5,28.98,0.0,Completed
BF2025-000229,2025-11-28 20:40:50,S004,P0072,PR007,Online,Card,3,69.86,52.2,Completed
BF2025-000230,2025-11-23 17:17:47,S019,P0028,PR005,In-Store,Card,3,109.62,21.5,Completed
BF2025-000231,2025-11-30 03:18:14,S026,P0056,PR016,Online,Cash,5,4.02,49.4,Completed
BF2025-000232,2025-11-30 05:17:58,S010,P0098,PR011,In-Store,Card,1,117.4,44.5,Completed
BF2025-000233,2025-11-26 11:50:08,S025,P0051,PR005,In-Store,Card,5,275.07,21.5,Completed
BF2025-000234,2025-11-25 19:03:19,S007,P0097,PR009,Online,Card,2,18.03,34.7,Completed
BF2025-000235,2025-11-30 00:59:30,S005,P0030,PR005,Online,Card,5,29.39,22.8,Completed
BF2025-000236,2025-11-30 14:14:16,S022,P0055,,In-Store,Card,3,52.36,0.0,Returned
BF2025-000237,2025-11-28 11:28:35,S010,P0008,PR005,In-Store,Digital Wallet,1,15.45,21.5,Completed
BF2025-000238,2025-11-22 18:48:16,S011,P0029,,Online,Card,2,161.7,0.0,Completed
BF2025-000239,2025-11-23 11:23:40,S027,P0065,,Online,Card,2,26.47,0.0,Completed
BF2025-000240,2025-11-27 14:03:52,S011,P0102,PR011,Online,Card,2,379.59,42.9,Completed
BF2025-000241,2025-11-28 05:59:25,S022,P0059,PR011,Online,Card,2,56.61,41.2,Completed
BF2025-000242,2025-11-28 18:20:59,S013,P0035,PR006,Online,Card,2,65.92,46.3,Completed
BF2025-000243,2025-11-28 11:52:44,S022,P0105,,In-Store,Card,6,271.25,0.0,Completed
BF2025-000244,2025-11-28 19:46:47,S026,P0116,,Online,Digital Wallet,4,177.76,0.0,Completed
BF2025-000245,2025-11-28 19:47:26,S020,P0026,,Online,Digital Wallet,2,659.59,0.0,Completed
BF2025-000246,2025-11-23 02:44:30,S023,P0055,PR007,In-Store,Digital Wallet,2,26.29,50.3,Completed
BF2025-000247,2025-11-22 07:20:48,S002,P0052,PR015,Online,Cash,6,229.11,27.1,Completed
BF2025-000248,2025-11-28 22:39:05,S015,P0101,PR007,In-Store,Card,1,105.17,47.9,Completed
BF2025-000249,2025-11-23 10:31:00,S001,P0100,,Online,Card,2,134.87,0.0,Completed
BF2025-000250,2025-11-25 05:09:16,S001,P0007,,In-Store,Card,2,200.33,0.0,Completed
BF2025-000251,2025-11-28 11:09:59,S013,P0010,,In-Store,Cash,2,87.89,0.0,Completed
BF2025-000252,2025-11-24 10:16:48,S029,P0077,,Online,Card,1,204.12,0.0,Completed
BF2025-000253,2025-11-22 19:37:26,S009,P0043,,In-Store,Card,3,25.13,0.0,Completed
BF2025-000254,2025-11-25 10:40:50,S012,P0054,,Online,Card,1,28.18,0.0,Completed
BF2025-000255,2025-11-28 10:36:13,S029,P0067,PR006,Online,Card,2,73.09,46.2,Completed
BF2025-000256,2025-11-30 11:12:00,S005,P0115,PR007,Online,Digital Wallet,3,85.31,49.3,Completed
BF2025-000257,2025-11-30 07:43:30,S005,P0102,PR012,Online,Card,2,307.01,52.0,Completed
BF2025-000258,2025-11-23 19:45:42,S008,P0064,,Online,Digital Wallet,4,27.16,0.0,Completed
BF2025-000259,2025-11-27 09:24:31,S028,P0066,PR009,In-Store,Card,3,4.22,32.1,Completed
BF2025-000260,2025-11-23 21:13:39,S016,P0095,PR011,Online,Card,2,160.6,47.7,Completed
